Country,Year,Medal
Colombia,2016,No medal
Colombia,2016,No medal
Mexico,1984,Silver
Mexico,1984,No medal
Belgium,2016,No medal
Morocco,1992,No medal
Mexico,2016,No medal
Spain,2012,No medal
India,2004,No medal
India,2008,No medal
India,2016,No medal
Great Britain,2012,No medal
Germany,2000,No medal
Ghana,2016,No medal
Ghana,1992,Bronze
Switzerland,1984,Silver
Uganda,1984,No medal
Morocco,1988,Bronze
Morocco,1988,No medal
Morocco,1992,Bronze
Morocco,1996,No medal
Great Britain,2000,No medal
Great Britain,2008,No medal
Netherlands,1984,No medal
Netherlands,1984,No medal
Uganda,2012,No medal
Uganda,1996,No medal
Uganda,2000,No medal
Canada,2012,No medal
Canada,2016,No medal
Egypt,1984,No medal
Egypt,1988,No medal
Algeria,2012,No medal
Tunisia,2008,No medal
Tunisia,2012,No medal
Syria,1980,No medal
Netherlands,2012,Bronze
Netherlands,2016,Silver
Cameroon,1988,No medal
Cameroon,1988,No medal
Uganda,1988,No medal
Uganda,1988,No medal
Brazil,1988,No medal
Great Britain,2004,No medal
Germany,1996,No medal
Slovenia,2000,No medal
Mexico,1992,No medal
Mexico,1996,No medal
Honduras,2016,No medal
Chile,2016,No medal
Argentina,2008,Gold
Ecuador,1984,No medal
Mexico,2008,No medal
Mexico,2012,No medal
El Salvador,2016,No medal
El Salvador,2016,No medal
El Salvador,2016,No medal
Venezuela,2016,No medal
Cuba,2008,Bronze
Venezuela,1980,No medal
Venezuela,2008,No medal
Argentina,2016,No medal
Italy,2008,No medal
United States,1996,No medal
United States,2000,No medal
United States,2004,No medal
United States,2008,No medal
United States,2012,No medal
Venezuela,2008,No medal
Venezuela,2012,No medal
Mexico,1996,No medal
Argentina,2016,No medal
Turkmenistan,2016,No medal
Poland,1980,Bronze
Japan,2012,No medal
Japan,2004,No medal
Japan,2016,No medal
Japan,1992,No medal
Japan,2012,No medal
New Zealand,1984,No medal
New Zealand,1984,No medal
Turkey,2000,No medal
Turkey,2004,No medal
Brazil,2004,No medal
Sudan,2008,No medal
Romania,2016,No medal
Mauritius,2008,No medal
Mexico,1988,No medal
Cameroon,2012,No medal
Seychelles,1992,No medal
Seychelles,1992,No medal
Seychelles,1992,No medal
Czechoslovakia,1980,No medal
Seychelles,1992,No medal
Germany,2016,No medal
Great Britain,1992,No medal
Great Britain,1992,No medal
Great Britain,1992,No medal
Egypt,1988,No medal
Egypt,1988,No medal
Egypt,1992,No medal
Egypt,1992,No medal
Kenya,1984,No medal
Kenya,1988,No medal
Kenya,1988,No medal
Kenya,1992,No medal
Kenya,1992,No medal
Germany,2004,No medal
Sudan,1996,No medal
Mauritania,1988,No medal
Mauritania,1988,No medal
West Germany,1988,No medal
Poland,1992,Silver
Czechoslovakia,1988,No medal
Czechoslovakia,1992,No medal
Czechoslovakia,1980,No medal
Czechoslovakia,1980,No medal
Czechoslovakia,1980,No medal
Greece,1996,No medal
Greece,1996,No medal
Poland,2008,No medal
Poland,2012,No medal
Germany,1992,No medal
Niger,2012,No medal
Saint Kitts and Nevis,2012,No medal
Saint Kitts and Nevis,2012,No medal
Saint Kitts and Nevis,2012,No medal
Saint Kitts and Nevis,2016,No medal
Saint Kitts and Nevis,2016,No medal
Saint Kitts and Nevis,2016,No medal
Australia,1992,No medal
United States,2012,No medal
United States,2016,No medal
South Africa,2000,No medal
Trinidad and Tobago,1980,No medal
Australia,2000,No medal
Australia,2000,No medal
Dominican Republic,1984,No medal
United States,1996,No medal
United States,1996,No medal
Saint Vincent and the Grenadines,1988,No medal
Australia,2016,No medal
Australia,2004,No medal
Australia,2008,No medal
Australia,2008,No medal
Australia,2012,No medal
Russia,2012,No medal
Germany,2016,No medal
